title,listed_in,Streaming Platform,Language,Release Year,director,cast,description
Mirzapur,Crime Thriller,Amazon Prime Video,Hindi,2018,Gurmmeet Singh,"Pankaj Tripathi, Ali Fazal, Divyendu Sharma",A power struggle unfolds between three mafia families in the city of Mirzapur.
Kota Factory,Comedy Drama,Netflix,Hindi,2019,Saurabh Khanna,"Jitendra Kumar, Mayur More, Ranjan Raj",A young student navigates the pressures and complexities of life at a competitive coaching institute in Kota.
The Forgotten Army,War Drama,Amazon Prime Video,Hindi,2020,Kabir Khan,"Sunny Kaushal, Mritvikaa Khoda, Sharib Hashmi",The untold story of soldiers from the Indian National Army who fought for Indian independence during World War II.
Tripling,Comedy Drama,TVFPlay,Hindi,2016,Arunabh Kumar,"Amrita Puri, Yudhishthira Swaroop, Maanvi Gagroo",Three siblings on a road trip rediscover themselves and their bond with each other.
Sweet Home,Horror Thriller,Netflix,Korean (Hindi Dubbed),2020,Lee Eung-bok,"Song Kang, Lee Jin-uk, Lee Si-young",A recluse and his neighbors fight for survival as humans transform into monstrous creatures inside their apartment building. (Note: This is a Korean series with a Hindi dub available)
Vikrant Massey,Crime Thriller,Netflix,Hindi,2020,Pooja Bhatt,"Vikrant Massey, Sheetal Sheth, Kriti Kharbanda",A forensic officer with a troubled past investigates a series of murders with a possible connection to his own life.
Breathe: Into the Shadows,Psychological Thriller,Amazon Prime Video,Hindi,2022,Mayank Sharma,"Abhishek Bachchan, Amit Sadh, Nithya Menen",A psychiatrist gets caught in a dangerous game when a mysterious killer starts targeting people based on his childhood trauma.
Maharani,Historical Drama,SonyLIV,Hindi,2020,"Amit Sharma, Karuna Kumar","Huma Qureshi, Sohum Shah, Amit Sial","The story of Rani Roopmati Devi, who became the queen regent of the princely state of Jodhpur in 1949."
What the Folks!,Comedy Drama,Amazon Prime Video,Hindi,2020,Neel Patel,"Veer Das, Esha Gupta, Prem Chopra",A dysfunctional family grapples with their differences and tries to reconnect after the sudden death of the patriarch.
Sacred Games,Crime Thriller,Netflix,Hindi,2018,"Anurag Kashyap, Neeraj Ghaywan","Saif Ali Khan, Nawazuddin Siddiqui",A cop investigates a cryptic message from a powerful gangster.
The Family Man,Action Comedy,Amazon Prime Video,Hindi,2019,"Raj Nidimoru, Krishna D.K.","Manoj Bajpayee, Samantha Ruth Prabhu",A seemingly ordinary man leads a secret life as a special agent.
Delhi Crime,Crime Drama,Netflix,Hindi,2019,Richie Mehta,"Shefali Shah, Rajesh Tailang",A police officer heads the investigation of the brutal Delhi gang rape case.
Scam 1992: The Harshad Mehta Story,Crime Drama,SonyLIV,Hindi,2020,Hansal Mehta,"Pratik Gandhi, Shreya Dhanwanthary",The story of the rise and fall of stockbroker Harshad Mehta.
